customer_id,age,totalprice,quantity,transaction_count
C100004,0.8431372549019608,1.0,5,1
C100005,0.3137254901960784,0.3661619828646983,2,1
C100006,0.5098039215686275,0.0485062021843306,3,1
C100012,0.13725490196078433,0.019186646387600217,5,1
C100019,0.05882352941176472,0.004678961487607096,1,1
C100025,0.7254901960784313,0.021114176748878413,2,1
C100028,0.05882352941176472,0.0015163442651768176,1,1
C100030,0.5490196078431373,0.7331111807460964,4,1
C100034,0.823529411764706,0.1826782124869116,2,1
C100041,0.6274509803921569,0.41202528259490523,3,1
C100042,0.1960784313725491,0.09864339159743504,4,1
C100045,0.5882352941176471,0.0,1,1
C100066,0.5490196078431373,0.0485062021843306,3,1
C100067,0.8627450980392156,0.09094091301656207,1,1
C100078,0.9019607843137255,0.008463707859157298,2,1
C100088,0.23529411764705888,0.0,1,1
C100090,0.8627450980392156,0.024061265199746256,2,1
C100095,0.2549019607843137,0.019186646387600217,5,1
C100096,0.43137254901960786,0.41202528259490523,3,1
C100099,0.9019607843137255,0.020042647182458097,3,1
C100102,0.0,0.41202528259490523,3,1
C100105,0.607843137254902,0.0,1,1
C100106,0.7058823529411765,0.7331111807460964,4,1
C100110,0.1960784313725491,1.0,5,1
C100112,0.9803921568627451,0.04506997042211539,1,1
C100113,0.5882352941176471,0.7331111807460964,4,1
C100115,0.8627450980392156,0.005415733600324057,1,1
C100121,0.9019607843137255,0.000993572351174326,1,1
C100123,0.43137254901960786,0.055137151198783256,3,1
C100124,0.5294117647058824,0.006395548795866739,3,1
C100130,0.47058823529411764,0.8248637659449254,3,1
C100132,0.6862745098039217,0.006395548795866739,3,1
C100138,0.7843137254901961,0.3661619828646983,2,1
C100139,0.33333333333333337,0.15970070543636933,1,1
C100141,0.2941176470588236,0.008463707859157298,2,1
C100148,0.8823529411764707,0.41202528259490523,3,1
C100152,0.5294117647058824,0.1826782124869116,2,1
C100154,0.7058823529411765,0.0015163442651768176,1,1
C100155,0.8431372549019608,0.04506997042211539,1,1
C100156,0.8627450980392156,0.011991653992250138,4,1
C100157,0.47058823529411764,0.15457998639570167,5,1
C100159,0.27450980392156865,0.1361606835777776,5,1
C100168,0.5882352941176471,1.0,5,1
C100172,0.4509803921568628,0.08685503779396367,4,1
C100175,0.07843137254901966,1.0,4,1
C100176,0.7058823529411765,0.41202528259490523,3,1
C100181,0.2941176470588236,0.1361606835777776,5,1
C100182,0.37254901960784315,0.04402595516695837,5,1
C100184,0.21568627450980393,0.6412011525439273,2,1
C100188,0.47058823529411764,0.08685503779396367,4,1
C100189,0.2941176470588236,0.0485062021843306,3,1
C100190,0.37254901960784315,0.004678961487607096,1,1
C100198,0.8823529411764707,0.024061265199746256,2,1
C100199,0.33333333333333337,1.0,4,1
C100201,0.9019607843137255,0.04506997042211539,1,1
C100204,0.8039215686274509,0.15457998639570167,5,1
C100211,0.8627450980392156,1.0,4,1
C100218,0.1568627450980392,1.0,5,1
C100221,0.23529411764705888,1.0,4,1
C100225,0.1568627450980392,0.021114176748878413,2,1
C100232,0.11764705882352944,0.09094091301656207,1,1
C100235,0.9411764705882354,0.41202528259490523,3,1
C100236,0.8039215686274509,0.1826782124869116,2,1
C100241,0.1960784313725491,0.09864339159743504,4,1
C100242,0.13725490196078433,0.0,1,1
C100246,0.13725490196078433,0.1826782124869116,2,1
C100247,0.05882352941176472,0.3661619828646983,2,1
C100253,0.8627450980392156,0.09094091301656207,1,1
C100254,0.6666666666666666,1.0,4,1
C100256,0.3921568627450981,0.006395548795866739,3,1
C100259,0.07843137254901966,0.021114176748878413,2,1
C100261,0.8823529411764707,0.7331111807460964,4,1
C100272,0.09803921568627455,0.011991653992250138,4,1
C100273,0.43137254901960786,0.04506997042211539,1,1
C100281,0.3921568627450981,0.1826782124869116,2,1
C100282,0.2549019607843137,0.1826782124869116,2,1
C100283,0.47058823529411764,0.1826782124869116,2,1
C100284,0.6666666666666666,1.0,3,1
C100285,0.5294117647058824,0.04506997042211539,1,1
C100286,0.7843137254901961,0.7331111807460964,4,1
C100291,0.4117647058823529,0.015337699956435673,3,1
